step,value,wall_time,timestamp,seed,model,run_name
1,0.5982384085655212,1752678073.0985148,2025-07-16 17:01:13.098515,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
2,0.14757010340690613,1752678150.0624278,2025-07-16 17:02:30.062428,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
3,0.13026416301727295,1752678226.0857992,2025-07-16 17:03:46.085799,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
4,0.12766189873218536,1752678302.4350634,2025-07-16 17:05:02.435063,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
5,0.12375085800886154,1752678378.4642525,2025-07-16 17:06:18.464252,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
6,0.11873071640729904,1752678455.4793293,2025-07-16 17:07:35.479329,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
7,0.11895756423473358,1752678532.182474,2025-07-16 17:08:52.182474,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
8,0.11961410939693451,1752678608.5161507,2025-07-16 17:10:08.516151,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
9,0.11664344370365143,1752678684.5449128,2025-07-16 17:11:24.544913,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
10,0.11313594877719879,1752678760.1437123,2025-07-16 17:12:40.143712,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
11,0.11519071459770203,1752678836.310469,2025-07-16 17:13:56.310469,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
12,0.11472675949335098,1752678912.3092685,2025-07-16 17:15:12.309268,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
13,0.11340850591659546,1752678988.3092608,2025-07-16 17:16:28.309261,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
14,0.11169782280921936,1752679064.4811532,2025-07-16 17:17:44.481153,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
15,0.11462853103876114,1752679140.6241448,2025-07-16 17:19:00.624145,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
16,0.11105313897132874,1752679216.2300456,2025-07-16 17:20:16.230046,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
17,0.11012175679206848,1752679293.0395193,2025-07-16 17:21:33.039519,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
18,0.1102880910038948,1752679369.3370757,2025-07-16 17:22:49.337076,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
19,0.11095523089170456,1752679445.1536338,2025-07-16 17:24:05.153634,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
20,0.1099475547671318,1752679521.2400267,2025-07-16 17:25:21.240027,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
21,0.10897226631641388,1752679597.6717641,2025-07-16 17:26:37.671764,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
22,0.10807136446237564,1752679673.885317,2025-07-16 17:27:53.885317,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
23,0.1088256910443306,1752679750.4674444,2025-07-16 17:29:10.467444,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
24,0.10611791908740997,1752679826.730079,2025-07-16 17:30:26.730079,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
25,0.11065758019685745,1752679903.015172,2025-07-16 17:31:43.015172,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
26,0.10836006700992584,1752679978.8560143,2025-07-16 17:32:58.856014,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
27,0.1063227578997612,1752680055.5944605,2025-07-16 17:34:15.594460,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
28,0.10689942538738251,1752680132.6876757,2025-07-16 17:35:32.687676,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
29,0.10408904403448105,1752680209.0840766,2025-07-16 17:36:49.084077,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
30,0.10882316529750824,1752680285.8452976,2025-07-16 17:38:05.845298,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
31,0.10416263341903687,1752680365.3831396,2025-07-16 17:39:25.383140,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
32,0.10591962933540344,1752680443.611775,2025-07-16 17:40:43.611775,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
33,0.10741504281759262,1752680520.044436,2025-07-16 17:42:00.044436,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
34,0.10789627581834793,1752680596.954984,2025-07-16 17:43:16.954984,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
35,0.10638155788183212,1752680672.6599762,2025-07-16 17:44:32.659976,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
36,0.10576740652322769,1752680749.379862,2025-07-16 17:45:49.379862,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
37,0.10421206802129745,1752680825.2846522,2025-07-16 17:47:05.284652,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
38,0.10467096418142319,1752680900.8743544,2025-07-16 17:48:20.874354,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
39,0.1055176854133606,1752680976.1578746,2025-07-16 17:49:36.157875,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
40,0.10451170802116394,1752681051.601789,2025-07-16 17:50:51.601789,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
41,0.10688864439725876,1752681128.43871,2025-07-16 17:52:08.438710,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
42,0.10167782753705978,1752681205.5106142,2025-07-16 17:53:25.510614,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
43,0.10567251592874527,1752681281.7370431,2025-07-16 17:54:41.737043,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
44,0.10422968864440918,1752681357.3793693,2025-07-16 17:55:57.379369,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
45,0.10507383197546005,1752681433.0647485,2025-07-16 17:57:13.064749,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
46,0.10292284190654755,1752681509.0923615,2025-07-16 17:58:29.092361,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
47,0.10265623033046722,1752681585.2592154,2025-07-16 17:59:45.259215,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
48,0.10630950331687927,1752681661.5045958,2025-07-16 18:01:01.504596,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
49,0.10255782306194305,1752681737.4423885,2025-07-16 18:02:17.442389,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
50,0.10408735275268555,1752681813.502534,2025-07-16 18:03:33.502534,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
51,0.10286489874124527,1752681889.5521774,2025-07-16 18:04:49.552177,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
52,0.10228829830884933,1752681965.7532294,2025-07-16 18:06:05.753229,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
53,0.10094612836837769,1752682042.4465356,2025-07-16 18:07:22.446536,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
54,0.10309262573719025,1752682119.2897303,2025-07-16 18:08:39.289730,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
55,0.10082293301820755,1752682195.4228063,2025-07-16 18:09:55.422806,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
56,0.10190082341432571,1752682271.900176,2025-07-16 18:11:11.900176,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
57,0.10252266377210617,1752682348.0375638,2025-07-16 18:12:28.037564,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
58,0.10323833674192429,1752682423.9100604,2025-07-16 18:13:43.910060,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
59,0.10194022208452225,1752682500.0673592,2025-07-16 18:15:00.067359,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
60,0.10263855010271072,1752682576.1295598,2025-07-16 18:16:16.129560,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
61,0.10058972239494324,1752682652.5616896,2025-07-16 18:17:32.561690,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
62,0.10200690478086472,1752682728.3290381,2025-07-16 18:18:48.329038,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
63,0.1021851897239685,1752682804.3332102,2025-07-16 18:20:04.333210,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
64,0.10154356062412262,1752682880.2095726,2025-07-16 18:21:20.209573,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
65,0.10146351903676987,1752682956.3064759,2025-07-16 18:22:36.306476,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
66,0.10177122056484222,1752683032.6925347,2025-07-16 18:23:52.692535,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
67,0.10224857181310654,1752683109.017251,2025-07-16 18:25:09.017251,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
68,0.10082311928272247,1752683185.1096637,2025-07-16 18:26:25.109664,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
69,0.10316900908946991,1752683261.4400494,2025-07-16 18:27:41.440049,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
70,0.10063805431127548,1752683337.4807475,2025-07-16 18:28:57.480747,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
71,0.10275137424468994,1752683414.47094,2025-07-16 18:30:14.470940,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
72,0.10324056446552277,1752683490.7756207,2025-07-16 18:31:30.775621,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
73,0.10227027535438538,1752683567.4397564,2025-07-16 18:32:47.439756,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
74,0.10316838324069977,1752683643.7308443,2025-07-16 18:34:03.730844,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
75,0.10381308943033218,1752683719.745624,2025-07-16 18:35:19.745624,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
76,0.09938708692789078,1752683795.712885,2025-07-16 18:36:35.712885,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
77,0.10176502168178558,1752683872.66714,2025-07-16 18:37:52.667140,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
78,0.1027747243642807,1752683949.1073506,2025-07-16 18:39:09.107351,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
79,0.10405135154724121,1752684025.3305974,2025-07-16 18:40:25.330597,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
80,0.10291237384080887,1752684101.0834935,2025-07-16 18:41:41.083493,924,IWAE,IWAE_experiment_20250716_152742_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_924
